Descricao,Codigo,RET,Validade_RET,IA
Testemunha,"",,,
Produto Teste,"",,,Picoxistrobina (estrobilurina) 100g.L⁻¹ + (alquilenobis(ditiocarbamato)) 116.7g.L⁻¹
S-2399T 260 g/L,,,,
Ovi55,"",,,piridabem (piridazinona) 200g.L⁻¹ + fenpropatrina (piretróide) 150g.L⁻¹
UPL 2039 FP,,,,
ADA FF 0090/16 ARMERO,,,,
"Mancozebe ""INNOVATIVE""",,,,
Cobre (Diferentes formulações),,,,
Abacus HC,,,,piraclostrobina (estrobilurina) 260g.L⁻¹ + epoxiconazol (triazol) 160g.L⁻¹
Abamectin DVA 18 EC,,,,abamectina (avermectina) 18g.L⁻¹
Abamectin DVA 18 EC,,,,abamectina (avermectina) 18g.L⁻¹
Abamectin Nortox,,,,abamectina (avermectina) 18g.L⁻¹
Abamectin Prentiss,,,,abamectina (avermectina) 18g.L⁻¹
Abamex,,,,abamectina (avermectina) 18g.L⁻¹
Abamex BR 18,,,,abamectina (avermectina) 18g.L⁻¹
Incrível,,,,abamectina (avermectina) 18g.L⁻¹
Able,,,,Bacillus thuringiensis (biológico) 72g.L⁻¹
Abone,,,,diurom (uréia) 500g.L⁻¹
Academic,,,,mancozebe (alquilenobis(ditiocarbamato) 700g/kg + cimoxanil (acetamida) 60g/kg
Acaramik,,,,abamectina (avermectina) 18g.L⁻¹
Acarit,,,,propargito (sulfito de alquila) 720g.L⁻¹
Acarit EC,,,,propargito (sulfito de alquila) 720g.L⁻¹
Accent,,,,nicossulfurom (sulfoniluréia) 750g/kg
Accurate,,,,metsulfurom-metílico (sulfoniluréia) 600g/kg
Accurate,,,,metsulfurom-metílico (sulfoniluréia) 600g/kg
Acefato Fersol 750 SP,,,,acefato (organofosforado) 750g/kg
Acefato Nortox,,,,acefato (organofosforado) 750g.L⁻¹
Acehero,,,,acefato (organofosforado) 750g/kg
Acert,,,,propaquizafope (ácido 100g.L⁻¹
Acetamiprid CCAB 200 SP,,,,acetamiprido (neonicotinóide) 200g/kg
Aclamadorbr,,,,atrazina (triazina) 500g.L⁻¹
Acrobat MZ,,,,dimetomorfe (morfolina) 90g/kg
Acronis,,,,piraclostrobina (estrobilurina) 50g.L⁻¹
Actara 10 GR,,,,tiametoxam (neonicotinóide) 10g/kg
Actara 250 WG,,,,tiametoxam (neonicotinóide) 250g/kg
Neomip Max,,,,tiametoxam (neonicotinóide) 750g/kg
Actellic 500 EC,,,,pirimifós-metílico 500g.L⁻¹
Actelliclambda,,,,lambda-cialotrina (piretróide) 50g.L⁻¹
Actend,,,,trifloxissulfurom-sódico 750g/kg
Actigard,,,,acibenzolar-S-metílico 500g/kg
Activol GA,,,,ácido giberélico (giberelina) 92g/kg
Acuthon,,,,mandipropamid (éter 250g.L⁻¹
Adage 350 FS,,,,tiametoxam (neonicotinóide) 350g/kg
Adage 700 WS,,,,tiametoxam (neonicotinóide) 700g/kg
Adante,,,,tiametoxam (neonicotinóide) 300g/kg + ciproconazol (triazol) 300g/kg
Adesil,,,,Nonilfenol etoxilado 250g.L⁻¹
Adsee AB,,,,amina graxa polimerizada 485g.L⁻¹
Advance,,,,hexazinona (triazinona) 67g/kg + diurom (uréia) 533g/kg
Afalon SC,,,,linurom (uréia) 450g.L⁻¹
